study,year,location,state,lat,lon,cultivar,planting_date,flowering,index
106,1998,Passo Fundo,RS,-28.2612,-52.4083,"Frontana, CEP24",NA,1998-09-30,5.1
107,1999,Passo Fundo,RS,-28.2612,-52.4083,BRS177,NA,1998-10-05,4.6
108,1999,Passo Fundo,RS,-28.2612,-52.4083,BR18,NA,1999-09-07,2.4
109,1999,Passo Fundo,RS,-28.2612,-52.4083,CEP24,NA,1999-09-11,0.8
110,1999,Passo Fundo,RS,-28.2612,-52.4083,BR23,NA,1999-10-02,10.5
111,1999,Passo Fundo,RS,-28.2612,-52.4083,Embrapa40,NA,1999-10-06,10.6
112,1999,Passo Fundo,RS,-28.2612,-52.4083,"BR23, BRS119, CEP27",NA,1999-09-16,5.8
113,2000,Passo Fundo,RS,-28.2612,-52.4083,Frontana,NA,1999-10-03,8.9
114,2000,Passo Fundo,RS,-28.2612,-52.4083,BRS119,NA,2000-10-07,18.8
115,2000,Passo Fundo,RS,-28.2612,-52.4083,"BR23, Frontana",NA,2000-09-03,26.3
116,2001,Passo Fundo,RS,-28.2612,-52.4083,BRS120,NA,2000-09-24,19.8
117,2001,Passo Fundo,RS,-28.2612,-52.4083,BR23,NA,2001-09-09,7.4
118,2001,Passo Fundo,RS,-28.2612,-52.4083,BRS179,NA,2001-09-25,8
119,2003,Passo Fundo,RS,-28.2612,-52.4083,"BR35, BRS120",NA,2001-10-04,9.3
120,2003,Passo Fundo,RS,-28.2612,-52.4083,"BR23, Embrapa40, Fundacep29",NA,2003-08-20,1.7
121,2003,Passo Fundo,RS,-28.2612,-52.4083,"BRS Camboatá, BRS49, BR15",NA,2003-10-04,5.1
122,2009,Cruz Alta,RS,-28.6394,-53.6062,Campo Real,NA,2009-10-02,7.3
123,2009,Passo Fundo,RS,-28.2612,-52.4083,Guamirim,NA,2009-10-08,5
124,2009,Lagoa Vermelha,RS,-28.2097,-51.5299,Raizes,NA,2009-10-20,10.1
125,2009,Muitos Capões,RS,-28.3155,-51.1831,Supera,NA,2009-10-25,31.3
